temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,shortwave_radiation_backwards_sfc,angle_of_incidence,zenith,azimuth,power_output
271.3,86,1013.6,0.1,0.28,105.02,21.580768,62.43138,164.35537,705.53718
272.29,87,1012.3,0.1,0.42,168.21,16.313284,60.898566,180.22888,709.37222
274.01,81,1010.6,0.2,0.07,217.16,21.841608,62.502006,196.08925,595.21168
274.97,76,1010.2,0.1,0,416.52,33.396534,67.012071,210.82121,288.75358
275.43,78,1009.6,0,0,311.5,46.68524,73.878297,223.85783,120.28781
275.27,81,1010.5,0,0,338.2,60.174983,82.235384,234.99589,54.593671
275.45,85,1010.1,0,0.14,210.93,107.16705,119.3571,215.04426,10.725232
268.79,96,1017.1,0,0,0,60.142185,82.118766,124.92334,176.33224
269.3,91,1016.6,0,0,5.34,48.078984,74.66776,135.32166,555.61982
274.33,80,1013.9,0,0,309.72,16.671723,60.815986,186.61222,487.8004
274.43,84,1011,0.3,0.35,169.99,21.639563,62.273365,196.06981,769.56467
275.52,82,1010.2,0.3,0.28,202.03,33.244549,66.784438,210.85274,411.2987
275.42,79,1010.6,0.4,0.14,234.96,46.568426,73.658816,223.92748,435.15191
274.86,79,1010.5,0.4,0.14,136.17,56.223037,79.484072,232.11495,46.973611
271.22,92,1017.1,0.4,0,5.34,46.335509,73.407935,136.14697,0.88722222
272.23,87,1018.8,0.3,0,115.7,32.985843,66.531452,149.26133,38.837352
273.18,85,1018.7,0,0,258.1,21.355186,62.028042,164.09888,43.892087
274.14,85,1018.2,0,0,366.68,15.883609,60.454572,180.07755,68.468864
274.93,74,1017.7,0,0,267,21.435635,62.039372,196.05492,44.855
275.33,74,1018.3,0,0,250.09,33.093417,66.552385,210.88991,26.84328
275.79,72,1018.5,0,0,195.8,46.453577,73.435836,224.0033,21.373333
275.88,73,1018.1,0,0,169.1,60.192626,81.949616,235.34236,9.8601908
270.16,94,1027.7,0,0.07,0,60.221244,81.866205,124.52181,39.840833
269.88,96,1028.5,0,0,4.45,46.343508,73.251867,135.95831,193.89462
270.53,90,1029.9,0,0,103.24,32.94899,66.347052,149.09564,674.70417
271.89,83,1029.4,0,0,270.56,21.285403,61.832247,163.89503,1512.4509
273.02,79,1029.2,0,0,405.84,15.660676,60.223538,180.00632,2386.7665
275.48,64,1027.9,0,0,473.48,21.230043,61.800135,196.04466,1902.4103
276.27,59,1027.2,0,0,488.61,32.943347,66.316032,210.9328,1494.7838
276.67,54,1027,0,0,499.29,46.340854,73.20948,224.08532,507.36284
276.73,54,1027,0,0,420.97,60.107916,81.737581,235.45124,112.26474
276.32,56,1026.9,0,0,299.93,107.42,118.85498,215.01312,26.661348
270.29,68,1032.4,0,0,0,60.256318,81.730486,124.31812,480.965
270.36,70,1032.2,0,0,8.01,46.348278,73.089398,135.7684,1610.4259
272.67,62,1031.9,0,0,140.62,32.908601,66.156198,148.9297,2332.3159
274.01,54,1032.8,0,0,291.03,21.111896,61.59907,163.84708,2664.7049
275.77,45,1031.7,0,0,412.07,15.432475,59.986603,179.93814,2899.872
277.01,47,1031,0,0,502.85,21.023016,61.555764,196.03911,2822.5761
278.17,44,1030.6,0,0,526.88,32.737846,66.05026,210.9194,2520.3628
278.87,44,1030.7,0,0,494.84,46.230416,72.979873,224.17356,1566.4214
278.83,48,1029.7,0,0,414.74,60.025904,81.522951,235.56645,232.96167
278.29,55,1030,0,0,295.48,107.50654,118.67814,215.01028,34.047386
270.07,96,1035.7,0,0,0,60.288403,81.588518,124.11262,451.43028
269.25,100,1036.9,0,0,8.01,46.349846,72.920584,135.57732,457.51195
271.7,75,1036.7,0,0,141.51,32.864753,65.958959,148.7636,2283.9918
274.05,50,1035.2,0,0,299.04,20.983902,61.37517,163.72313,2709.7533
275.6,44,1034.6,0,0,423.64,15.19911,59.743863,179.87309,2898.309
277.16,45,1033.4,0,0,489.5,20.814784,61.306367,196.03833,2839.5309
278.09,40,1032.5,0,0,530.44,32.647237,65.830907,211.03592,2517.6672
278.75,38,1032.2,0,0,506.41,46.126298,72.749556,224.27123,1643.3694
278.87,38,1031.7,0,0,429.87,60.063468,81.381671,235.77953,240.32569
278.38,40,1030.9,0,0,312.39,107.59409,118.49663,215.01105,12.823696
273.37,34,1031.9,0,0,0,60.317494,81.440343,123.90539,622.10833
273.78,37,1032.3,0,0,8.01,46.348249,72.745483,135.38514,1555.0839
276.51,35,1032.1,0,0,135.28,32.817529,65.755409,148.59741,2207.8295
277.81,31,1032.2,0,0,290.14,20.851847,61.145105,163.60056,2033.3861
278.85,31,1031.4,0,0,419.19,14.96069,59.495415,179.81123,1495.0268
279.92,51,1030.7,0,0,495.73,20.605587,61.052056,196.04239,1601.2917
280.72,51,1030.4,0,0,524.21,32.501613,65.582372,211.09624,1587.797
281.05,49,1030.5,0,0,498.4,46.017,72.511392,224.36879,900.9568
280.76,52,1029.5,0,0,421.86,59.870431,81.086397,235.81581,175.41141
279.99,55,1030.3,0,0,302.6,107.68261,118.31051,215.01532,25.198679
